Date,VIX_Value,Vol_Label,Is_High_Vol
20021218,28.29,High,1
20030122,29.01,High,1
20030219,31.31,High,1
20030319,31.54,High,1
20030416,22.52,High,1
20030521,21.21,High,1
20030618,19.76,High,1
20030716,19.76,High,1
20030820,17.82,Low,0
20030917,18.15,Low,0
20031022,17.67,Low,0
20031119,18.8,High,1
20031217,15.58,Low,0
20040121,14.34,Low,0
20040218,15.59,Low,0
20040317,18.11,Low,0
20040421,15.6,Low,0
20040519,18.93,High,1
20040616,14.79,Low,0
20040721,16.41,Low,0
20040818,16.23,Low,0
20040915,14.64,Low,0
20041020,14.85,Low,0
20041117,13.21,Low,0
20041222,11.45,Low,0
20050119,13.18,Low,0
20050216,11.1,Low,0
20050316,13.49,Low,0
20050420,16.92,Low,0
20050518,13.63,Low,0
20050615,11.46,Low,0
20050720,10.23,Low,0
20050817,13.3,Low,0
20050921,13.79,Low,0
20051019,13.5,Low,0
20051116,12.26,Low,0
20051221,10.81,Low,0
20060118,12.25,Low,0
20060215,12.31,Low,0
20060322,11.21,Low,0
20060419,11.32,Low,0
20060517,16.26,Low,0
20060621,15.52,Low,0
20060719,15.55,Low,0
20060816,12.41,Low,0
20060920,11.39,Low,0
20061018,11.34,Low,0
20061115,10.31,Low,0
20061220,10.26,Low,0
20070117,10.59,Low,0
20070214,10.23,Low,0
20070321,12.19,Low,0
20070418,12.42,Low,0
20070516,13.5,Low,0
20070620,14.67,Low,0
20070718,16,Low,0
20070822,22.89,High,1
20070919,20.03,High,1
20071017,18.54,High,1
20071121,26.84,High,1
20071219,21.68,High,1
20080116,24.38,High,1
20080220,24.4,High,1
20080319,29.84,High,1
20080416,20.53,High,1
20080521,18.59,High,1
20080618,22.24,High,1
20080716,25.1,High,1
20080820,20.42,High,1
20080917,36.22,High,1
20081022,69.65,High,1
20081119,74.26,High,1
20081217,49.84,High,1
20090121,46.42,High,1
20090218,48.46,High,1
20090318,40.06,High,1
20090415,36.17,High,1
20090520,29.03,High,1
20090617,31.54,High,1
20090722,23.47,High,1
20090819,26.26,High,1
20090916,23.69,High,1
20091021,22.22,High,1
20091118,21.63,High,1
20091216,20.54,High,1
20100120,18.68,High,1
20100217,21.72,High,1
20100317,16.91,Low,0
20100421,16.32,Low,0
20100519,35.32,High,1
20100616,25.92,High,1
20100721,25.64,High,1
20100818,24.59,High,1
20100915,22.1,High,1
20101020,19.79,High,1
20101117,21.76,High,1
20101222,15.45,Low,0
20110119,17.31,Low,0
20110216,16.72,Low,0
20110316,29.4,High,1
20110420,15.07,Low,0
20110518,16.23,Low,0
20110615,21.32,High,1
20110720,19.09,High,1
20110817,31.58,High,1
20110921,37.32,High,1
20111019,34.44,High,1
20111116,33.51,High,1
20111221,21.43,High,1
20120118,20.89,High,1
20120215,21.14,High,1
20120321,15.13,Low,0
20120418,18.64,High,1
20120516,22.27,High,1
20120620,17.24,Low,0
20120718,16.16,Low,0
20120822,15.11,Low,0
20120919,13.88,Low,0
20121017,15.07,Low,0
20121121,15.31,Low,0
20121219,17.36,Low,0
20130116,13.42,Low,0
20130213,12.98,Low,0
20130320,12.67,Low,0
20130417,16.51,Low,0
20130522,13.82,Low,0
20130619,16.64,Low,0
20130717,13.78,Low,0
20130821,15.94,Low,0
20130918,13.59,Low,0
20131016,14.71,Low,0
20131120,13.4,Low,0
20131218,13.8,Low,0
20140122,12.84,Low,0
20140219,15.5,Low,0
20140319,15.12,Low,0
20140416,14.18,Low,0
20140521,11.91,Low,0
20140618,10.61,Low,0
20140716,11,Low,0
20140820,11.78,Low,0
20140917,12.65,Low,0
20141022,17.87,Low,0
20141119,13.96,Low,0
20141217,19.44,High,1
20150121,18.85,High,1
20150218,15.45,Low,0
20150318,13.97,Low,0
20150415,12.84,Low,0
20150520,12.88,Low,0
20150617,14.5,Low,0
20150722,12.12,Low,0
20150819,15.25,Low,0
20150916,21.35,High,1
20151021,16.7,Low,0
20151118,16.85,Low,0
20151216,17.86,Low,0
20160120,27.59,High,1
20160217,22.31,High,1
20160316,14.99,Low,0
20160420,13.28,Low,0
20160518,15.95,Low,0
20160615,20.14,High,1
20160720,11.77,Low,0
20160817,12.19,Low,0
20160921,13.3,Low,0
20161019,14.41,Low,0
20161116,13.72,Low,0
20161221,11.27,Low,0
20170118,12.48,Low,0
20170215,11.97,Low,0
20170322,12.81,Low,0
20170419,14.93,Low,0
20170517,15.59,Low,0
20170621,10.75,Low,0
20170719,9.79,Low,0
20170816,11.74,Low,0
20170920,9.78,Low,0
20171018,10.07,Low,0
20171115,13.13,Low,0
20171220,9.72,Low,0
20180117,11.91,Low,0
20180214,19.26,High,1
20180321,17.86,Low,0
20180418,15.6,Low,0
20180516,13.42,Low,0
20180620,12.79,Low,0
20180718,12.1,Low,0
20180822,12.25,Low,0
20180919,11.75,Low,0
20181017,17.4,Low,0
20181121,20.8,High,1
20181219,25.58,High,1
20190116,19.04,High,1
20190213,15.65,Low,0
20190319,13.56,Low,0
20190417,12.6,Low,0
20190522,14.75,Low,0
20190619,14.33,Low,0
20190717,13.97,Low,0
20190821,15.8,Low,0
20190918,13.95,Low,0
20191016,13.68,Low,0
20191120,12.78,Low,0
20191218,12.58,Low,0
20200122,12.91,Low,0
20200219,14.38,Low,0
20200318,76.45,High,1
20200415,40.84,High,1
20200520,27.99,High,1
20200617,33.47,High,1
20200722,24.32,High,1
20200819,22.54,High,1
20200916,26.04,High,1
20201021,28.65,High,1
20201118,23.84,High,1
20201216,22.5,High,1
20210120,21.58,High,1
20210217,21.5,High,1
20210317,19.23,High,1
20210421,17.5,Low,0
20210519,22.18,High,1
20210616,18.15,Low,0
20210721,17.91,Low,0
20210818,21.57,High,1
20210915,18.18,Low,0
20211020,15.49,Low,0
20211117,17.11,Low,0
20211222,18.63,High,1
